"subject";"activity";"featDomain";"featAcceleration";"featInstrument";"featJerk";"featMagnitude";"featVariable";"featAxis";"count";"meanValue"
"1";1;"WALKING";"Time";"NA";"Gyroscope";"NA";"NA";"Mean";"X";347;-0.0208764064320173
"2";1;"WALKING";"Time";"NA";"Gyroscope";"NA";"NA";"Mean";"Y";347;-0.0880722729400576
"3";1;"WALKING";"Time";"NA";"Gyroscope";"NA";"NA";"Mean";"Z";347;0.0862641666597983
"4";1;"WALKING";"Time";"NA";"Gyroscope";"NA";"NA";"SD";"X";347;-0.686555715201729
"5";1;"WALKING";"Time";"NA";"Gyroscope";"NA";"NA";"SD";"Y";347;-0.450979810499568
"6";1;"WALKING";"Time";"NA";"Gyroscope";"NA";"NA";"SD";"Z";347;-0.597496136795101
"7";1;"WALKING";"Time";"NA";"Gyroscope";"NA";"Magnitude";"Mean";"NA";347;-0.475404785802305
"8";1;"WALKING";"Time";"NA";"Gyroscope";"NA";"Magnitude";"SD";"NA";347;-0.499839593745821
"9";1;"WALKING";"Time";"NA";"Gyroscope";"Jerk";"NA";"Mean";"X";347;-0.0971120197265994
"10";1;"WALKING";"Time";"NA";"Gyroscope";"Jerk";"NA";"Mean";"Y";347;-0.0417164808293948
"11";1;"WALKING";"Time";"NA";"Gyroscope";"Jerk";"NA";"Mean";"Z";347;-0.0471393985477522
"12";1;"WALKING";"Time";"NA";"Gyroscope";"Jerk";"NA";"SD";"X";347;-0.637812687210375
"13";1;"WALKING";"Time";"NA";"Gyroscope";"Jerk";"NA";"SD";"Y";347;-0.634472244550432
"14";1;"WALKING";"Time";"NA";"Gyroscope";"Jerk";"NA";"SD";"Z";347;-0.664591977786455
"15";1;"WALKING";"Time";"NA";"Gyroscope";"Jerk";"Magnitude";"Mean";"NA";347;-0.639517432642651
"16";1;"WALKING";"Time";"NA";"Gyroscope";"Jerk";"Magnitude";"SD";"NA";347;-0.652050770910663
"17";1;"WALKING";"Time";"Body";"Accelerometer";"NA";"NA";"Mean";"X";347;0.265696920582133
"18";1;"WALKING";"Time";"Body";"Accelerometer";"NA";"NA";"Mean";"Y";347;-0.0182981725176081
"19";1;"WALKING";"Time";"Body";"Accelerometer";"NA";"NA";"Mean";"Z";347;-0.10784573454611
"20";1;"WALKING";"Time";"Body";"Accelerometer";"NA";"NA";"SD";"X";347;-0.545795331328326
"21";1;"WALKING";"Time";"Body";"Accelerometer";"NA";"NA";"SD";"Y";347;-0.367716218227378
"22";1;"WALKING";"Time";"Body";"Accelerometer";"NA";"NA";"SD";"Z";347;-0.502645746562824
"23";1;"WALKING";"Time";"Body";"Accelerometer";"NA";"Magnitude";"Mean";"NA";347;-0.453632943768818
"24";1;"WALKING";"Time";"Body";"Accelerometer";"NA";"Magnitude";"SD";"NA";347;-0.497096402038329
"25";1;"WALKING";"Time";"Body";"Accelerometer";"Jerk";"NA";"Mean";"X";347;0.0770930495126801
"26";1;"WALKING";"Time";"Body";"Accelerometer";"Jerk";"NA";"Mean";"Y";347;0.0165908438802305
"27";1;"WALKING";"Time";"Body";"Accelerometer";"Jerk";"NA";"Mean";"Z";347;-0.00910758730117003
"28";1;"WALKING";"Time";"Body";"Accelerometer";"Jerk";"NA";"SD";"X";347;-0.524721922818732
"29";1;"WALKING";"Time";"Body";"Accelerometer";"Jerk";"NA";"SD";"Y";347;-0.470412403511239
"30";1;"WALKING";"Time";"Body";"Accelerometer";"Jerk";"NA";"SD";"Z";347;-0.717322274881844
"31";1;"WALKING";"Time";"Body";"Accelerometer";"Jerk";"Magnitude";"Mean";"NA";347;-0.545431612066571
"32";1;"WALKING";"Time";"Body";"Accelerometer";"Jerk";"Magnitude";"SD";"NA";347;-0.515922167555159
"33";1;"WALKING";"Time";"Gravity";"Accelerometer";"NA";"NA";"Mean";"X";347;0.744867411573487
"34";1;"WALKING";"Time";"Gravity";"Accelerometer";"NA";"NA";"Mean";"Y";347;-0.0825562579855908
"35";1;"WALKING";"Time";"Gravity";"Accelerometer";"NA";"NA";"Mean";"Z";347;0.072339870389049
"36";1;"WALKING";"Time";"Gravity";"Accelerometer";"NA";"NA";"SD";"X";347;-0.959859435936599
"37";1;"WALKING";"Time";"Gravity";"Accelerometer";"NA";"NA";"SD";"Y";347;-0.951150627458213
"38";1;"WALKING";"Time";"Gravity";"Accelerometer";"NA";"NA";"SD";"Z";347;-0.925817590867435
"39";1;"WALKING";"Time";"Gravity";"Accelerometer";"NA";"Magnitude";"Mean";"NA";347;-0.453632943768818
"40";1;"WALKING";"Time";"Gravity";"Accelerometer";"NA";"Magnitude";"SD";"NA";347;-0.497096402038329
"41";1;"WALKING";"Freq";"NA";"Gyroscope";"NA";"NA";"Mean";"X";347;-0.623219182311527
"42";1;"WALKING";"Freq";"NA";"Gyroscope";"NA";"NA";"Mean";"Y";347;-0.505309434070029
"43";1;"WALKING";"Freq";"NA";"Gyroscope";"NA";"NA";"Mean";"Z";347;-0.553529065425648
"44";1;"WALKING";"Freq";"NA";"Gyroscope";"NA";"NA";"SD";"X";347;-0.708263420861671
"45";1;"WALKING";"Freq";"NA";"Gyroscope";"NA";"NA";"SD";"Y";347;-0.429825832648703
